RowID,Name,smiles-joint,cation,anion,econd_15,econd_20,econd_25,econd_30,econd_40,econd_50,econd_60,econd_70
IL2040,N-ethyl-N-methylpyrrolidinium ethylphosphonate,CC[N+]1(C)CCCC1.CC[N+]1(C)CCCC1.CC[P]([O-])([O-])=O,CC[N+]1(C)CCCC1,CC[N+]1(C)CCCC1,,0.208,0.239,0.275,0.363,0.478,,
IL2041,N-methyl-N-octylpyrrolidinium octylphosphonate,CCCCCCCC[N+]1(C)CCCC1.CCCCCCCC[N+]1(C)CCCC1.CCCCCCCC[P]([O-])([O-])=O,CCCCCCCC[N+]1(C)CCCC1,CCCCCCCC[N+]1(C)CCCC1,,0.031,0.034,0.038,0.046,0.056,,
IL2042,4-ethyl-4-methylmorpholin-4-ium ethylphosphonate,CC[N+]1(C)CCOCC1.CC[N+]1(C)CCOCC1.CC[P]([O-])([O-])=O,CC[N+]1(C)CCOCC1,CC[N+]1(C)CCOCC1,,0.083,0.094,0.106,0.135,0.173,,
IL2043,4-butyl-4-methylmorpholin-4-ium butylphosphonate,CCCC[N+]1(C)CCOCC1.CCCC[N+]1(C)CCOCC1.CCCC[P]([O-])([O-])=O,CCCC[N+]1(C)CCOCC1,CCCC[N+]1(C)CCOCC1,,0.074,0.082,0.092,0.114,0.141,,
IL2044,N-hexyl-N-methylpyrrolidinium hexylphosphonate,CCCCCC[N+]1(C)CCCC1.CCCCCC[N+]1(C)CCCC1.CCCCCC[P]([O-])([O-])=O,CCCCCC[N+]1(C)CCCC1,CCCCCC[N+]1(C)CCCC1,,0.034,0.037,0.041,0.05,0.061,,
IL2045,4-hexyl-4-methylmorpholin-4-ium hexylphosphonate,CCCCCC[N+]1(C)CCOCC1.CCCCCC[N+]1(C)CCOCC1.CCCCCC[P]([O-])([O-])=O,CCCCCC[N+]1(C)CCOCC1,CCCCCC[N+]1(C)CCOCC1,,0.015,0.017,0.02,0.028,0.038,,
IL2046,4-methyl-4-octylmorpholin-4-ium octylphosphonate,CCCCCCCC[N+]1(C)CCOCC1.CCCCCCCC[N+]1(C)CCOCC1.CCCCCCCC[P]([O-])([O-])=O,CCCCCCCC[N+]1(C)CCOCC1,CCCCCCCC[N+]1(C)CCOCC1,,0.016,0.018,0.021,0.027,0.035,,
IL2047,1-hexyl-1-methylpiperidin-1-ium hexylphosphonate,CCCCCC[N+]1(C)CCCCC1.CCCCCC[N+]1(C)CCCCC1.CCCCCC[P]([O-])([O-])=O,CCCCCC[N+]1(C)CCCCC1,CCCCCC[N+]1(C)CCCCC1,,0.037,0.042,0.046,0.058,0.072,,
IL1914,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCC[N+]1(C)CCCC1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,,,0.113,0.146,0.23,0.332,,
IL0010,1-butyl-3-methylimidazolium iodide,CCCCn1cc[n+](C)c1.[I-],CCCCn1cc[n+](C)c1,[I-],,0.02,,0.05,0.1,0.18,,
IL1873,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,CCCCCC[N+](CC)(CC)CC.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCCCC[N+](CC)(CC)CC,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,0.0685,0.07785,,0.206,0.322,,
IL0116,n-butylammonium nitrate,CCCC[NH3+].[O-][N+]([O-])=O,CCCC[NH3+],[O-][N+]([O-])=O,,,0.867,,0.724,0.983,,
IL1633,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(4-(trifluoromethyl)phenyl)borate,CCCCn1cc[n+](C)c1.F[B-](F)(F)c1ccc(cc1)C(F)(F)F,CCCCn1cc[n+](C)c1,F[B-](F)(F)c1ccc(cc1)C(F)(F)F,,,,,0.212,0.325,,
IL1781,triethylheptylammonium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCC[N+](CC)(CC)CC.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCCCCC[N+](CC)(CC)CC,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,,0.051,0.11,,0.275,,
IL0667,2-methylpyridinium acetate,Cc1cccc[nH+]1.CC([O-])=O,Cc1cccc[nH+]1,CC([O-])=O,,,,0.00622,,0.0353,,
IL1646,"1,1,3,3-tetramethyl-4-octylguanidinium bromotrichloroferrate(III)",CCCCCCCC[NH+]=C(N(C)C)N(C)C.Cl[Fe-](Cl)(Cl)Br,CCCCCCCC[NH+]=C(N(C)C)N(C)C,Cl[Fe-](Cl)(Cl)Br,0.0421,0.0512,0.0601,0.0679,0.0769,,,
IL1647,"1,1,3,3-tetramethyl-4-hexylguanidinium bromotrichloroferrate(III)",CCCCCC[NH+]=C(N(C)C)N(C)C.Cl[Fe-](Cl)(Cl)Br,CCCCCC[NH+]=C(N(C)C)N(C)C,Cl[Fe-](Cl)(Cl)Br,0.0527,0.0634,0.0737,0.0824,0.09,,,
IL1648,"1,1,3,3-tetramethyl-4-butylguanidinium bromotrichloroferrate(III)",CCCC[NH+]=C(N(C)C)N(C)C.Cl[Fe-](Cl)(Cl)Br,CCCC[NH+]=C(N(C)C)N(C)C,Cl[Fe-](Cl)(Cl)Br,0.0791,0.0923,0.1037,0.1115,0.1157,,,
IL1649,"1,1,3,3-tetramethyl-4-ethylguanidinium bromotrichloroferrate(III)",CC[NH+]=C(N(C)C)N(C)C.Cl[Fe-](Cl)(Cl)Br,CC[NH+]=C(N(C)C)N(C)C,Cl[Fe-](Cl)(Cl)Br,0.1426,0.149,0.155,0.1594,0.1618,,,
IL0404,"N-methyl-N,N-dioctyl-1-octanaminium chloride",CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,[Cl-],,,0.0026,0.0035,0.0066,,,
IL1778,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCCC[N+](CC)(CC)CC.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCCCCCC[N+](CC)(CC)CC,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,,0.0475,0.078,0.131,,,
IL0193,1-ethyl-3-methylimidazolium trifluoroacetate,CCn1cc[n+](C)c1.[O-]C(=O)C(F)(F)F,CCn1cc[n+](C)c1,[O-]C(=O)C(F)(F)F,,,1,,1.6,,,
IL1709,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",CN(C)C(=[NH2+])N(C)C.[n-]1ccnc1,CN(C)C(=[NH2+])N(C)C,[n-]1ccnc1,,,0.218,,0.3014,,,
IL0139,3-decyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,CCCCCCCCCC[n+]1c[nH]cc1.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCCCCCCCC[n+]1c[nH]cc1,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,,0.0238,0.0351,,,,
IL0186,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",CCCCCCCCCCCC[N+](CC)(CC)CC.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCCCCCCCCCC[N+](CC)(CC)CC,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,,0.026,0.039,,,,
IL0221,"N,N,N-triethyltetradecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",CCCCCCCCCCCCCC[N+](CC)(CC)CC.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCCCCCCCCCCCC[N+](CC)(CC)CC,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,,0.01,0.021,,,,
IL1497,"N,N,N-triethyl-1-decanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCCCCCCC[N+](CC)(CC)CC.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCCCCCCCC[N+](CC)(CC)CC,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,,0.046,0.059,,,,
IL0688,1-(3-((3-butoxy-2-hydroxypropyl)amino)propyl)-1H-imidazol-3-ium ethanesulfonate,CCCCOCC(O)CNCCCn1cc[nH+]c1.CC[S]([O-])(=O)=O,CCCCOCC(O)CNCCCn1cc[nH+]c1,CC[S]([O-])(=O)=O,,0.00834,,0.0151,,,,
IL0957,1-propyltetrahydro-1H-thiophen-1-ium bis((trifluoromethyl)sulfonyl)amide,CCC[S+]1CCCC1.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCC[S+]1CCCC1,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,,,0.376,,,,
IL1819,1-butyltetrahydrothiophenium bis(trifluoromethylsulfonyl)imide,CCCC[S+]1CCCC1.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CCCC[S+]1CCCC1,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,,0.32,0.21,,,,,
IL0029,"1,3-dimethylimidazolium methylsulfate",Cn1cc[n+](C)c1.CO[S]([O-])(=O)=O,Cn1cc[n+](C)c1,CO[S]([O-])(=O)=O,0.25,,0.4725,,,,,
IL0048,3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,CCn1cc[n+](C)c1.C[C@H](O)C([O-])=O,CCn1cc[n+](C)c1,C[C@H](O)C([O-])=O,0.092,,0.189,,,,,
IL1369,diethanolammonium formate,OCC[NH2+]CCO.[O-]C=O,OCC[NH2+]CCO,[O-]C=O,0.026,,0.07616,,,,,
IL1776,diethylmethylsulfonium bis[(trifluoromethyl)sulfonyl]imide,CC[S+](C)CC.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CC[S+](C)CC,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,0.4732,,0.688,,,,,
IL1868,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,CC[S+](CC)CC.FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,CC[S+](CC)CC,FC(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)F,0.4873,,0.708,,,,,
